Approval,Interest,Debt-to-Income Ratio_z,FICO Score_z,Request Amount_z,Combine,Approval3
"F",4500.000000,-1.337481,-3.153854,-0.361951,-16.258633,"1 - Denied"
"F",7200.000000,-1.337481,-3.153854,0.271739,-16.230050,"1 - Denied"
"F",4950.000000,-1.337481,-3.139388,-0.256336,-16.168120,"1 - Denied"
"F",1800.000000,-1.337481,-3.124923,-0.995642,-16.573054,"1 - Denied"
"F",9900.000000,-1.337481,-3.124923,0.905430,-16.487304,"1 - Denied"
"F",450.000000,-1.337481,-3.095991,-1.312487,-16.822989,"1 - Denied"
"F",4050.000000,-1.337481,-3.095991,-0.467566,-16.070987,"1 - Denied"
"F",450.000000,-1.337481,-3.081526,-1.312487,-16.765126,"1 - Denied"
"F",14850.000000,-1.337481,-3.081526,2.067195,-18.040463,"1 - Denied"
"F",450.000000,-1.337481,-3.067060,-1.312487,-16.707263,"1 - Denied"
"F",1350.000000,-1.337481,-3.067060,-1.101257,-16.452336,"1 - Denied"
"F",1800.000000,-1.337481,-3.052594,-0.995642,-16.283741,"1 - Denied"
"F",14400.000000,-1.337481,-3.052594,1.961580,-17.711988,"1 - Denied"
"F",450.000000,-1.337481,-3.038129,-1.312487,-16.591538,"1 - Denied"
"F",900.000000,-1.337481,-3.038129,-1.206872,-16.458497,"1 - Denied"
"F",1800.000000,-1.337481,-3.038129,-0.995642,-16.225878,"1 - Denied"
"F",1800.000000,-1.337481,-3.023663,-0.995642,-16.168015,"1 - Denied"
"F",225.000000,-1.337481,-3.009197,-1.365294,-16.546516,"1 - Denied"
"F",1350.000000,-1.337481,-2.994732,-1.101257,-16.163022,"1 - Denied"
"F",1800.000000,-1.337481,-2.994732,-0.995642,-16.052290,"1 - Denied"
"F",3600.000000,-1.337481,-2.994732,-0.573181,-15.720907,"1 - Denied"
"F",7650.000000,-1.337481,-2.994732,0.377354,-15.627837,"1 - Denied"
"F",450.000000,-1.337481,-2.980266,-1.312487,-16.360087,"1 - Denied"
"F",2250.000000,-1.337481,-2.980266,-0.890027,-15.894850,"1 - Denied"
"F",15750.000000,-1.337481,-2.980266,2.278425,-18.094387,"1 - Denied"
"F",3150.000000,-1.337481,-2.965800,-0.678797,-15.671296,"1 - Denied"
"F",3150.000000,-1.337481,-2.951335,-0.678797,-15.613433,"1 - Denied"
"F",3600.000000,-1.337481,-2.936869,-0.573181,-15.489456,"1 - Denied"
"F",225.000000,-1.337481,-2.922403,-1.365294,-16.199340,"1 - Denied"
"F",450.000000,-1.337481,-2.922403,-1.312487,-16.128636,"1 - Denied"
"F",4050.000000,-1.337481,-2.922403,-0.467566,-15.376634,"1 - Denied"
"F",1800.000000,-1.337481,-2.907937,-0.995642,-15.705114,"1 - Denied"
"F",3150.000000,-1.337481,-2.907937,-0.678797,-15.439845,"1 - Denied"
"F",4950.000000,-1.337481,-2.907937,-0.256336,-15.242317,"1 - Denied"
"F",3150.000000,-1.337481,-2.893472,-0.678797,-15.381982,"1 - Denied"
"F",6300.000000,-1.337481,-2.893472,0.060509,-15.153430,"1 - Denied"
"F",8550.000000,-1.337481,-2.893472,0.588584,-15.324816,"1 - Denied"
"F",4500.000000,-1.337481,-2.879006,-0.361951,-15.159241,"1 - Denied"
"F",1350.000000,-1.337481,-2.864540,-1.101257,-15.642258,"1 - Denied"
"F",3150.000000,-1.337481,-2.850075,-0.678797,-15.208394,"1 - Denied"
"F",6750.000000,-1.337481,-2.850075,0.166124,-14.991810,"1 - Denied"
"F",1350.000000,-1.337481,-2.835609,-1.101257,-15.526532,"1 - Denied"
"F",1800.000000,-1.337481,-2.835609,-0.995642,-15.415800,"1 - Denied"
"F",2700.000000,-1.337481,-2.835609,-0.784412,-15.227800,"1 - Denied"
"F",5400.000000,-1.337481,-2.835609,-0.150721,-14.931507,"1 - Denied"
"F",2250.000000,-1.337481,-2.821143,-0.890027,-15.258360,"1 - Denied"
"F",4500.000000,-1.337481,-2.806678,-0.361951,-14.869928,"1 - Denied"
"F",2250.000000,-1.337481,-2.792212,-0.890027,-15.142635,"1 - Denied"
"F",3600.000000,-1.337481,-2.792212,-0.573181,-14.910829,"1 - Denied"
"F",900.000000,-1.337481,-2.777746,-1.206872,-15.416968,"1 - Denied"
"F",1350.000000,-1.337481,-2.777746,-1.101257,-15.295081,"1 - Denied"
"F",1800.000000,-1.337481,-2.777746,-0.995642,-15.184349,"1 - Denied"
"F",2250.000000,-1.337481,-2.763281,-0.890027,-15.026909,"1 - Denied"
"F",2700.000000,-1.337481,-2.763281,-0.784412,-14.938486,"1 - Denied"
"F",2700.000000,-1.337481,-2.748815,-0.784412,-14.880624,"1 - Denied"
"F",6300.000000,-1.337481,-2.748815,0.060509,-14.574803,"1 - Denied"
"F",10350.000000,-1.337481,-2.748815,1.011045,-15.084078,"1 - Denied"
"F",3150.000000,-1.337481,-2.734349,-0.678797,-14.745492,"1 - Denied"
"F",900.000000,-1.337481,-2.719884,-1.206872,-15.185517,"1 - Denied"
"F",1350.000000,-1.337481,-2.719884,-1.101257,-15.063631,"1 - Denied"
"F",1800.000000,-1.337481,-2.719884,-0.995642,-14.952899,"1 - Denied"
"F",1800.000000,-1.337481,-2.719884,-0.995642,-14.952899,"1 - Denied"
"F",2250.000000,-1.337481,-2.719884,-0.890027,-14.853321,"1 - Denied"
"F",3600.000000,-1.337481,-2.719884,-0.573181,-14.621516,"1 - Denied"
"F",3600.000000,-1.337481,-2.719884,-0.573181,-14.621516,"1 - Denied"
"F",3600.000000,-1.337481,-2.719884,-0.573181,-14.621516,"1 - Denied"
"F",225.000000,-1.337481,-2.705418,-1.365294,-15.331399,"1 - Denied"
"F",450.000000,-1.337481,-2.705418,-1.312487,-15.260696,"1 - Denied"
"F",450.000000,-1.337481,-2.705418,-1.312487,-15.260696,"1 - Denied"
"F",450.000000,-1.337481,-2.705418,-1.312487,-15.260696,"1 - Denied"
"F",2250.000000,-1.337481,-2.705418,-0.890027,-14.795458,"1 - Denied"
"F",11250.000000,-1.337481,-2.705418,1.222275,-15.146362,"1 - Denied"
"F",2250.000000,-1.337481,-2.690952,-0.890027,-14.737596,"1 - Denied"
"F",2700.000000,-1.337481,-2.690952,-0.784412,-14.649173,"1 - Denied"
"F",2250.000000,-1.337481,-2.676487,-0.890027,-14.679733,"1 - Denied"
"F",2700.000000,-1.337481,-2.676487,-0.784412,-14.591310,"1 - Denied"
"F",4950.000000,-1.337481,-2.676487,-0.256336,-14.316513,"1 - Denied"
"F",13500.000000,-1.337481,-2.676487,1.750350,-15.815522,"1 - Denied"
"F",900.000000,-1.337481,-2.662021,-1.206872,-14.954066,"1 - Denied"
"F",15300.000000,-1.337481,-2.662021,2.172810,-16.586349,"1 - Denied"
"F",450.000000,-1.337481,-2.647555,-1.312487,-15.029245,"1 - Denied"
"F",900.000000,-1.337481,-2.647555,-1.206872,-14.896204,"1 - Denied"
"F",7200.000000,-1.337481,-2.647555,0.271739,-14.204855,"1 - Denied"
"F",450.000000,-1.337481,-2.633090,-1.312487,-14.971382,"1 - Denied"
"F",450.000000,-1.337481,-2.633090,-1.312487,-14.971382,"1 - Denied"
"F",900.000000,-1.337481,-2.633090,-1.206872,-14.838341,"1 - Denied"
"F",5850.000000,-1.337481,-2.633090,-0.045106,-14.111088,"1 - Denied"
"F",6300.000000,-1.337481,-2.633090,0.060509,-14.111902,"1 - Denied"
"F",900.000000,-1.337481,-2.618624,-1.206872,-14.780478,"1 - Denied"
"F",5850.000000,-1.337481,-2.618624,-0.045106,-14.053226,"1 - Denied"
"F",1800.000000,-1.337481,-2.604158,-0.995642,-14.489997,"1 - Denied"
"F",3600.000000,-1.337481,-2.604158,-0.573181,-14.158614,"1 - Denied"
"F",2250.000000,-1.337481,-2.589693,-0.890027,-14.332557,"1 - Denied"
"F",2700.000000,-1.337481,-2.589693,-0.784412,-14.244134,"1 - Denied"
"F",10350.000000,-1.337481,-2.589693,1.011045,-14.447589,"1 - Denied"
"F",13050.000000,-1.337481,-2.589693,1.644735,-15.289060,"1 - Denied"
"F",1350.000000,-1.337481,-2.575227,-1.101257,-14.485004,"1 - Denied"
"F",1350.000000,-1.337481,-2.575227,-1.101257,-14.485004,"1 - Denied"
"F",1350.000000,-1.337481,-2.575227,-1.101257,-14.485004,"1 - Denied"
"F",4950.000000,-1.337481,-2.575227,-0.256336,-13.911474,"1 - Denied"
"F",7200.000000,-1.337481,-2.575227,0.271739,-13.915541,"1 - Denied"
"F",225.000000,-1.337481,-2.560761,-1.365294,-14.752772,"1 - Denied"
"F",450.000000,-1.337481,-2.560761,-1.312487,-14.682069,"1 - Denied"
"F",2250.000000,-1.337481,-2.560761,-0.890027,-14.216831,"1 - Denied"
"F",4950.000000,-1.337481,-2.560761,-0.256336,-13.853612,"1 - Denied"
"F",2250.000000,-1.337481,-2.546296,-0.890027,-14.158969,"1 - Denied"
"F",2700.000000,-1.337481,-2.546296,-0.784412,-14.070546,"1 - Denied"
"F",8100.000000,-1.337481,-2.546296,0.482969,-13.879525,"1 - Denied"
"F",1350.000000,-1.337481,-2.531830,-1.101257,-14.311415,"1 - Denied"
"F",1800.000000,-1.337481,-2.531830,-0.995642,-14.200683,"1 - Denied"
"F",2250.000000,-1.337481,-2.531830,-0.890027,-14.101106,"1 - Denied"
"F",2250.000000,-1.337481,-2.531830,-0.890027,-14.101106,"1 - Denied"
"F",3150.000000,-1.337481,-2.531830,-0.678797,-13.935415,"1 - Denied"
"F",3150.000000,-1.337481,-2.531830,-0.678797,-13.935415,"1 - Denied"
"F",450.000000,-1.337481,-2.517364,-1.312487,-14.508480,"1 - Denied"
"F",450.000000,-1.337481,-2.517364,-1.312487,-14.508480,"1 - Denied"
"F",1350.000000,-1.337481,-2.517364,-1.101257,-14.253553,"1 - Denied"
"F",5850.000000,-1.337481,-2.517364,-0.045106,-13.648187,"1 - Denied"
"F",5850.000000,-1.337481,-2.517364,-0.045106,-13.648187,"1 - Denied"
"F",7650.000000,-1.337481,-2.517364,0.377354,-13.718368,"1 - Denied"
"F",450.000000,-1.337481,-2.502899,-1.312487,-14.450618,"1 - Denied"
"F",450.000000,-1.337481,-2.502899,-1.312487,-14.450618,"1 - Denied"
"F",450.000000,-1.337481,-2.502899,-1.312487,-14.450618,"1 - Denied"
"F",1350.000000,-1.337481,-2.502899,-1.101257,-14.195690,"1 - Denied"
"F",1800.000000,-1.337481,-2.488433,-0.995642,-14.027095,"1 - Denied"
"F",2250.000000,-1.337481,-2.488433,-0.890027,-13.927518,"1 - Denied"
"F",450.000000,-1.337481,-2.473967,-1.312487,-14.334892,"1 - Denied"
"F",1800.000000,-1.337481,-2.473967,-0.995642,-13.969233,"1 - Denied"
"F",2250.000000,-1.337481,-2.473967,-0.890027,-13.869655,"1 - Denied"
"F",450.000000,-1.337481,-2.459502,-1.312487,-14.277030,"1 - Denied"
"F",900.000000,-1.337481,-2.459502,-1.206872,-14.143988,"1 - Denied"
"F",1800.000000,-1.337481,-2.459502,-0.995642,-13.911370,"1 - Denied"
"F",3600.000000,-1.337481,-2.459502,-0.573181,-13.579987,"1 - Denied"
"F",1350.000000,-1.337481,-2.445036,-1.101257,-13.964239,"1 - Denied"
"F",1350.000000,-1.337481,-2.430570,-1.101257,-13.906377,"1 - Denied"
"F",1350.000000,-1.337481,-2.430570,-1.101257,-13.906377,"1 - Denied"
"F",6300.000000,-1.337481,-2.430570,0.060509,-13.301824,"1 - Denied"
"F",6300.000000,-1.337481,-2.430570,0.060509,-13.301824,"1 - Denied"
"F",225.000000,-1.337481,-2.416105,-1.365294,-14.174145,"1 - Denied"
"F",450.000000,-1.337481,-2.416105,-1.312487,-14.103442,"1 - Denied"
"F",2700.000000,-1.337481,-2.416105,-0.784412,-13.549781,"1 - Denied"
"F",1350.000000,-1.337481,-2.401639,-1.101257,-13.790651,"1 - Denied"
"F",1350.000000,-1.337481,-2.387173,-1.101257,-13.732788,"1 - Denied"
"F",450.000000,-1.337481,-2.372707,-1.312487,-13.929853,"1 - Denied"
"F",6300.000000,-1.337481,-2.372707,0.060509,-13.070373,"1 - Denied"
"F",450.000000,-1.337481,-2.358242,-1.312487,-13.871991,"1 - Denied"
"F",1350.000000,-1.337481,-2.343776,-1.101257,-13.559200,"1 - Denied"
"F",1800.000000,-1.337481,-2.343776,-0.995642,-13.448468,"1 - Denied"
"F",3150.000000,-1.337481,-2.343776,-0.678797,-13.183199,"1 - Denied"
"F",4050.000000,-1.337481,-2.343776,-0.467566,-13.062126,"1 - Denied"
"F",9000.000000,-1.337481,-2.343776,0.694199,-13.193773,"1 - Denied"
"F",1800.000000,-1.337481,-2.329310,-0.995642,-13.390606,"1 - Denied"
"F",1800.000000,-1.337481,-2.329310,-0.995642,-13.390606,"1 - Denied"
"F",2700.000000,-1.337481,-2.329310,-0.784412,-13.202605,"1 - Denied"
"F",3150.000000,-1.337481,-2.329310,-0.678797,-13.125337,"1 - Denied"
"F",3150.000000,-1.337481,-2.329310,-0.678797,-13.125337,"1 - Denied"
"F",4500.000000,-1.337481,-2.329310,-0.361951,-12.960459,"1 - Denied"
"F",900.000000,-1.337481,-2.314845,-1.206872,-13.565361,"1 - Denied"
"F",900.000000,-1.337481,-2.314845,-1.206872,-13.565361,"1 - Denied"
"F",3600.000000,-1.337481,-2.314845,-0.573181,-13.001360,"1 - Denied"
"F",3600.000000,-1.337481,-2.314845,-0.573181,-13.001360,"1 - Denied"
"F",15300.000000,-1.337481,-2.314845,2.172810,-15.197644,"1 - Denied"
"F",450.000000,-1.337481,-2.300379,-1.312487,-13.640540,"1 - Denied"
"F",450.000000,-1.337481,-2.300379,-1.312487,-13.640540,"1 - Denied"
"F",900.000000,-1.337481,-2.300379,-1.206872,-13.507499,"1 - Denied"
"F",5850.000000,-1.337481,-2.300379,-0.045106,-12.780246,"1 - Denied"
"F",7200.000000,-1.337481,-2.300379,0.271739,-12.816150,"1 - Denied"
"F",12150.000000,-1.337481,-2.300379,1.433505,-13.806697,"1 - Denied"
"F",15300.000000,-1.337481,-2.300379,2.172810,-15.139781,"1 - Denied"
"F",900.000000,-1.337481,-2.285913,-1.206872,-13.449636,"1 - Denied"
"F",1800.000000,-1.337481,-2.285913,-0.995642,-13.217017,"1 - Denied"
"F",2250.000000,-1.337481,-2.285913,-0.890027,-13.117440,"1 - Denied"
"F",900.000000,-1.337481,-2.271448,-1.206872,-13.391773,"1 - Denied"
"F",15300.000000,-1.337481,-2.271448,2.172810,-15.024056,"1 - Denied"
"F",450.000000,-1.337481,-2.256982,-1.312487,-13.466952,"1 - Denied"
"F",900.000000,-1.337481,-2.256982,-1.206872,-13.333911,"1 - Denied"
"F",4050.000000,-1.337481,-2.256982,-0.467566,-12.714950,"1 - Denied"
"F",4500.000000,-1.337481,-2.256982,-0.361951,-12.671145,"1 - Denied"
"F",225.000000,-1.337481,-2.242516,-1.365294,-13.479793,"1 - Denied"
"F",900.000000,-1.337481,-2.242516,-1.206872,-13.276048,"1 - Denied"
"F",1350.000000,-1.337481,-2.242516,-1.101257,-13.154161,"1 - Denied"
"F",1800.000000,-1.337481,-2.242516,-0.995642,-13.043429,"1 - Denied"
"F",2700.000000,-1.337481,-2.242516,-0.784412,-12.855429,"1 - Denied"
"F",2700.000000,-1.337481,-2.242516,-0.784412,-12.855429,"1 - Denied"
"F",3600.000000,-1.337481,-2.242516,-0.573181,-12.712047,"1 - Denied"
"F",225.000000,-1.337481,-2.228051,-1.365294,-13.421930,"1 - Denied"
"F",1350.000000,-1.337481,-2.228051,-1.101257,-13.096299,"1 - Denied"
"F",2250.000000,-1.337481,-2.199119,-0.890027,-12.770264,"1 - Denied"
"F",3150.000000,-1.337481,-2.199119,-0.678797,-12.604572,"1 - Denied"
"F",3600.000000,-1.337481,-2.199119,-0.573181,-12.538458,"1 - Denied"
"F",4050.000000,-1.337481,-2.199119,-0.467566,-12.483499,"1 - Denied"
"F",4950.000000,-1.337481,-2.199119,-0.256336,-12.407044,"1 - Denied"
"F",5400.000000,-1.337481,-2.199119,-0.150721,-12.385548,"1 - Denied"
"F",6750.000000,-1.337481,-2.199119,0.166124,-12.387989,"1 - Denied"
"F",225.000000,-1.337481,-2.184654,-1.365294,-13.248342,"1 - Denied"
"F",4050.000000,-1.337481,-2.184654,-0.467566,-12.425636,"1 - Denied"
"F",225.000000,-1.337481,-2.170188,-1.365294,-13.190479,"1 - Denied"
"F",450.000000,-1.337481,-2.170188,-1.312487,-13.119776,"1 - Denied"
"F",900.000000,-1.337481,-2.170188,-1.206872,-12.986734,"1 - Denied"
"F",3150.000000,-1.337481,-2.170188,-0.678797,-12.488847,"1 - Denied"
"F",4050.000000,-1.337481,-2.170188,-0.467566,-12.367774,"1 - Denied"
"F",4950.000000,-1.337481,-2.155722,-0.256336,-12.233456,"1 - Denied"
"F",12150.000000,-1.337481,-2.155722,1.433505,-13.228070,"1 - Denied"
"F",2250.000000,-1.337481,-2.141257,-0.890027,-12.538813,"1 - Denied"
"F",3600.000000,-1.337481,-2.141257,-0.573181,-12.307008,"1 - Denied"
"F",11250.000000,-1.337481,-2.141257,1.222275,-12.889717,"1 - Denied"
"F",900.000000,-1.337481,-2.126791,-1.206872,-12.813146,"1 - Denied"
"F",3150.000000,-1.337481,-2.126791,-0.678797,-12.315259,"1 - Denied"
"F",5400.000000,-1.337481,-2.126791,-0.150721,-12.096235,"1 - Denied"
"F",6300.000000,-1.337481,-2.126791,0.060509,-12.086707,"1 - Denied"
"F",450.000000,-1.337481,-2.112325,-1.312487,-12.888325,"1 - Denied"
"F",9000.000000,-1.337481,-2.112325,0.694199,-12.267970,"1 - Denied"
"F",1800.000000,-1.337481,-2.097860,-0.995642,-12.464802,"1 - Denied"
"F",2700.000000,-1.337481,-2.097860,-0.784412,-12.276802,"1 - Denied"
"F",7200.000000,-1.337481,-2.097860,0.271739,-12.006072,"1 - Denied"
"F",900.000000,-1.337481,-2.083394,-1.206872,-12.639558,"1 - Denied"
"F",3600.000000,-1.337481,-2.083394,-0.573181,-12.075557,"1 - Denied"
"F",4050.000000,-1.337481,-2.083394,-0.467566,-12.020597,"1 - Denied"
"F",5850.000000,-1.337481,-2.083394,-0.045106,-11.912306,"1 - Denied"
"F",450.000000,-1.337481,-2.068928,-1.312487,-12.714737,"1 - Denied"
"F",1800.000000,-1.337481,-2.068928,-0.995642,-12.349077,"1 - Denied"
"F",2250.000000,-1.337481,-2.068928,-0.890027,-12.249499,"1 - Denied"
"F",2700.000000,-1.337481,-2.068928,-0.784412,-12.161076,"1 - Denied"
"F",4950.000000,-1.337481,-2.068928,-0.256336,-11.886280,"1 - Denied"
"F",2250.000000,-1.337481,-2.054463,-0.890027,-12.191637,"1 - Denied"
"F",3600.000000,-1.337481,-2.054463,-0.573181,-11.959831,"1 - Denied"
"F",900.000000,-1.337481,-2.039997,-1.206872,-12.465970,"1 - Denied"
"F",900.000000,-1.337481,-2.039997,-1.206872,-12.465970,"1 - Denied"
"F",2250.000000,-1.337481,-2.039997,-0.890027,-12.133774,"1 - Denied"
"F",4050.000000,-1.337481,-2.039997,-0.467566,-11.847009,"1 - Denied"
"F",1350.000000,-1.337481,-2.025531,-1.101257,-12.286221,"1 - Denied"
"F",3150.000000,-1.337481,-2.025531,-0.678797,-11.910220,"1 - Denied"
"F",5850.000000,-1.337481,-2.025531,-0.045106,-11.680855,"1 - Denied"
"F",225.000000,-1.337481,-2.011066,-1.365294,-12.553989,"1 - Denied"
"F",1350.000000,-1.337481,-2.011066,-1.101257,-12.228358,"1 - Denied"
"F",3150.000000,-1.337481,-2.011066,-0.678797,-11.852357,"1 - Denied"
"F",5400.000000,-1.337481,-2.011066,-0.150721,-11.633333,"1 - Denied"
"F",900.000000,-1.337481,-1.996600,-1.206872,-12.292382,"1 - Denied"
"F",1350.000000,-1.337481,-1.996600,-1.101257,-12.170495,"1 - Denied"
"F",3150.000000,-1.337481,-1.996600,-0.678797,-11.794494,"1 - Denied"
"F",6750.000000,-1.337481,-1.996600,0.166124,-11.577911,"1 - Denied"
"F",2250.000000,-1.337481,-1.982134,-0.890027,-11.902323,"1 - Denied"
"F",3600.000000,-1.337481,-1.982134,-0.573181,-11.670518,"1 - Denied"
"F",4950.000000,-1.337481,-1.982134,-0.256336,-11.539104,"1 - Denied"
"F",5850.000000,-1.337481,-1.982134,-0.045106,-11.507267,"1 - Denied"
"F",225.000000,-1.337481,-1.967669,-1.365294,-12.380401,"1 - Denied"
"F",1350.000000,-1.337481,-1.967669,-1.101257,-12.054770,"1 - Denied"
"F",15750.000000,-1.337481,-1.967669,2.278425,-14.043998,"1 - Denied"
"F",1800.000000,-1.337481,-1.953203,-0.995642,-11.886175,"1 - Denied"
"F",4950.000000,-1.337481,-1.953203,-0.256336,-11.423378,"1 - Denied"
"F",4950.000000,-1.337481,-1.953203,-0.256336,-11.423378,"1 - Denied"
"F",900.000000,-1.337481,-1.938737,-1.206872,-12.060931,"1 - Denied"
"F",2250.000000,-1.337481,-1.938737,-0.890027,-11.728735,"1 - Denied"
"F",2700.000000,-1.337481,-1.938737,-0.784412,-11.640312,"1 - Denied"
"F",6300.000000,-1.337481,-1.938737,0.060509,-11.334492,"1 - Denied"
"F",900.000000,-1.337481,-1.924272,-1.206872,-12.003068,"1 - Denied"
"F",3600.000000,-1.337481,-1.924272,-0.573181,-11.439067,"1 - Denied"
"F",4500.000000,-1.337481,-1.924272,-0.361951,-11.340303,"1 - Denied"
"F",10350.000000,-1.337481,-1.924272,1.011045,-11.785904,"1 - Denied"
"F",1350.000000,-1.337481,-1.909806,-1.101257,-11.823319,"1 - Denied"
"F",3150.000000,-1.337481,-1.909806,-0.678797,-11.447318,"1 - Denied"
"F",3600.000000,-1.337481,-1.909806,-0.573181,-11.381204,"1 - Denied"
"F",1350.000000,-1.337481,-1.895340,-1.101257,-11.765456,"1 - Denied"
"F",1800.000000,-1.337481,-1.895340,-0.995642,-11.654724,"1 - Denied"
"F",3150.000000,-1.337481,-1.895340,-0.678797,-11.389456,"1 - Denied"
"F",6300.000000,-1.337481,-1.895340,0.060509,-11.160904,"1 - Denied"
"F",2250.000000,-1.337481,-1.880874,-0.890027,-11.497284,"1 - Denied"
"F",3600.000000,-1.337481,-1.880874,-0.573181,-11.265479,"1 - Denied"
"F",12150.000000,-1.337481,-1.880874,1.433505,-12.128679,"1 - Denied"
"F",2700.000000,-1.337481,-1.866409,-0.784412,-11.350999,"1 - Denied"
"F",4950.000000,-1.337481,-1.866409,-0.256336,-11.076202,"1 - Denied"
"F",1800.000000,-1.337481,-1.851943,-0.995642,-11.481136,"1 - Denied"
"F",4500.000000,-1.337481,-1.851943,-0.361951,-11.050989,"1 - Denied"
"F",17100.000000,-1.337481,-1.851943,2.595271,-14.353200,"1 - Denied"
"F",2700.000000,-1.337481,-1.837477,-0.784412,-11.235273,"1 - Denied"
"F",3600.000000,-1.337481,-1.837477,-0.573181,-11.091891,"1 - Denied"
"F",10350.000000,-1.337481,-1.837477,1.011045,-11.438728,"1 - Denied"
"F",900.000000,-1.337481,-1.823012,-1.206872,-11.598029,"1 - Denied"
"F",1350.000000,-1.337481,-1.823012,-1.101257,-11.476143,"1 - Denied"
"F",1350.000000,-1.337481,-1.823012,-1.101257,-11.476143,"1 - Denied"
"F",2700.000000,-1.337481,-1.823012,-0.784412,-11.177410,"1 - Denied"
"F",3150.000000,-1.337481,-1.823012,-0.678797,-11.100142,"1 - Denied"
"F",4500.000000,-1.337481,-1.823012,-0.361951,-10.935264,"1 - Denied"
"F",450.000000,-1.337481,-1.808546,-1.312487,-11.673208,"1 - Denied"
"F",900.000000,-1.337481,-1.808546,-1.206872,-11.540167,"1 - Denied"
"F",1800.000000,-1.337481,-1.808546,-0.995642,-11.307548,"1 - Denied"
"F",6750.000000,-1.337481,-1.808546,0.166124,-10.825696,"1 - Denied"
"F",450.000000,-1.337481,-1.794080,-1.312487,-11.615345,"1 - Denied"
"F",900.000000,-1.337481,-1.794080,-1.206872,-11.482304,"1 - Denied"
"F",2250.000000,-1.337481,-1.794080,-0.890027,-11.150108,"1 - Denied"
"F",3600.000000,-1.337481,-1.794080,-0.573181,-10.918303,"1 - Denied"
"F",15750.000000,-1.337481,-1.794080,2.278425,-13.349645,"1 - Denied"
"F",1800.000000,-1.337481,-1.779615,-0.995642,-11.191823,"1 - Denied"
"F",1800.000000,-1.337481,-1.779615,-0.995642,-11.191823,"1 - Denied"
"F",2250.000000,-1.337481,-1.779615,-0.890027,-11.092245,"1 - Denied"
"F",9000.000000,-1.337481,-1.779615,0.694199,-10.937128,"1 - Denied"
"F",450.000000,-1.337481,-1.765149,-1.312487,-11.499620,"1 - Denied"
"F",2250.000000,-1.337481,-1.765149,-0.890027,-11.034383,"1 - Denied"
"F",3600.000000,-1.337481,-1.765149,-0.573181,-10.802577,"1 - Denied"
"F",4500.000000,-1.337481,-1.765149,-0.361951,-10.703813,"1 - Denied"
