type,quality,alcohol_z,chlorides_z,citric acid_z,density_z,fixed acidity_z,free sulfur dioxide_z,pH_z,residual sugar_z,sulphates_z,total sulfur dioxide_z,volatile acidity_z,Training
"red",5,-1.214230,0.492444,-1.826615,0.997990,0.377746,-0.847207,0.225758,-0.530907,0.500729,-1.539556,2.069363,0.138019
"red",4,-1.214230,0.626630,-0.807830,0.928645,0.835674,-0.176483,-0.398840,-0.802009,3.874460,0.077480,1.681817,0.134226
"red",5,-1.214230,0.787653,1.025982,0.859300,0.148782,-0.511845,0.850356,-0.689050,0.236123,-0.731038,0.936535,0.223334
"red",5,-1.214230,1.002351,1.161820,1.275372,1.446243,0.438347,-0.898519,-0.553499,0.368426,-0.151014,0.757668,0.519223
"red",6,-1.214230,1.056025,-1.283263,1.344717,0.835674,-0.903101,-0.336380,-0.485723,0.566881,-0.906803,1.413515,0.640514
"red",5,-1.214230,1.109699,-0.196560,1.483408,1.217280,-1.406144,0.850356,-0.643866,-0.293090,-1.750474,1.532760,0.505345
"red",5,-1.214230,1.270723,-1.147425,1.157484,0.225104,-0.064696,-0.523760,-0.304988,0.302275,-0.361932,0.399933,0.181824
"red",5,-1.214230,1.485420,1.976847,0.859300,0.911995,-0.958995,-0.398840,-0.689050,0.037668,-0.344355,1.920307,0.212466
"red",5,-1.214230,1.539094,-0.196560,0.997990,0.454067,-1.182569,0.225758,-0.779417,6.785130,-1.504403,1.592383,0.470368
"red",6,-1.214230,9.617088,2.452280,0.706740,0.454067,-0.903101,-0.836059,-0.756826,3.477551,-1.451674,0.817290,0.120611
"red",5,-1.130033,0.224072,-2.166210,0.928645,-0.538109,-1.182569,1.474954,-0.711642,0.765336,-1.697744,1.622194,0.047476
"red",6,-1.130033,0.250909,1.229739,1.899480,3.812202,-1.126676,-0.648679,-0.598682,4.271370,-1.645015,-0.017425,0.475543
"red",6,-1.130033,0.331421,-0.943668,0.755281,-0.003860,-0.958995,0.413137,-0.530907,-0.359241,-1.416521,0.876913,0.008745
"red",5,-1.130033,0.331421,-0.807830,0.443227,-0.767072,-1.517931,1.162655,-0.779417,0.169971,-1.750474,0.638423,0.140341
"red",5,-1.130033,0.358258,-0.468236,0.616591,-0.156502,-1.517931,0.163298,-0.689050,0.633033,-1.627439,0.936535,0.726740
"red",4,-1.130033,0.411933,-2.030372,0.685936,0.301425,-1.182569,-0.336380,-0.847193,3.609854,-1.662592,2.009741,0.505156
"red",5,-1.130033,0.438770,-0.807830,1.102008,-0.461787,-0.064696,0.413137,0.621279,0.037668,-0.625579,2.278042,0.704404
"red",5,-1.130033,0.465607,-1.487020,0.762216,0.072461,-0.567739,0.787896,-0.734234,0.169971,-1.029838,3.381058,0.049672
"red",5,-1.130033,0.465607,0.210954,0.997990,0.454067,-0.511845,0.163298,-0.643866,0.169971,-0.854073,1.234648,0.384365
"red",5,-1.130033,0.465607,0.346792,0.304537,-1.225000,-1.014888,0.600517,-0.824601,0.302275,-0.326779,-0.196292,0.273403
"red",5,-1.130033,0.492444,-2.166210,1.206026,0.072461,-1.517931,1.662334,-0.576091,-0.094635,-1.785627,2.099174,0.053205
"red",7,-1.130033,0.492444,0.822225,1.916816,5.949196,-1.126676,-0.960979,-0.643866,2.022216,-1.592286,-0.792517,0.289634
"red",5,-1.130033,0.519281,-0.468236,0.748347,0.606710,0.214772,-0.211461,-0.372764,-0.756151,-0.520120,2.784833,0.423353
"red",5,-1.130033,0.546119,-1.283263,0.613124,-0.156502,-0.288271,0.725436,-0.779417,0.368426,-1.275909,1.294270,0.558808
"red",5,-1.130033,0.572956,1.161820,1.136681,1.369922,-0.232377,0.038378,-0.598682,0.302275,0.112633,0.578800,0.354092
"red",5,-1.130033,0.626630,-1.962453,0.484835,0.225104,-0.176483,-1.273278,-0.214620,-0.425393,-1.205603,1.413515,0.358680
"red",5,-1.130033,0.680304,-0.671992,0.162379,0.225104,0.717815,-0.773599,-0.734234,-0.756151,-0.959532,1.473138,0.092810
"red",5,-1.130033,0.680304,1.093901,0.928645,0.148782,-0.903101,0.725436,-0.689050,0.103820,-0.836497,0.280688,0.703442
"red",6,-1.130033,0.733979,1.501415,1.448735,3.277953,-1.406144,-1.523117,-0.666458,1.096094,-1.750474,-0.166481,0.583152
"red",6,-1.130033,0.760816,-1.283263,1.344717,0.835674,-1.350250,0.538057,-0.553499,0.368426,-1.592286,1.532760,0.370588
"red",5,-1.130033,0.814490,-0.739911,0.339209,0.301425,-0.511845,-0.648679,-0.621274,-0.623848,-0.818920,2.665588,0.687641
"red",5,-1.130033,0.814490,-0.264479,1.206026,0.377746,-0.400058,1.225115,-0.666458,1.360700,-1.064991,0.996158,0.360425
"red",6,-1.130033,0.841328,-0.400317,1.240699,0.454067,-0.400058,1.162655,-0.689050,1.360700,-1.170450,1.175025,0.113057
"red",6,-1.130033,0.841328,-0.400317,1.240699,0.454067,-0.400058,1.287575,-0.711642,1.360700,-1.082568,0.698045,0.209594
"red",5,-1.130033,0.841328,0.210954,0.547245,-0.156502,-0.791314,0.725436,-0.779417,0.103820,-1.328638,0.459555,0.725699
"red",6,-1.130033,0.868165,0.278873,0.564582,-0.156502,-0.903101,0.725436,-0.779417,0.169971,-1.363791,0.519178,0.443140
"red",6,-1.130033,0.895002,2.520199,1.899480,3.201632,-1.350250,-0.336380,-0.666458,0.566881,-1.645015,0.101820,0.592118
"red",5,-1.130033,0.948676,-0.604073,1.310044,1.369922,-0.120590,-0.773599,-0.508315,0.169971,-0.186167,0.698045,0.691822
"red",5,-1.130033,1.002351,1.161820,1.275372,1.369922,0.606028,-0.898519,-0.485723,0.500729,-0.080708,1.175025,0.074087
"red",6,-1.130033,1.082862,-1.622858,0.477900,-0.156502,-0.455952,0.725436,-0.734234,0.037668,-0.449814,2.069363,0.591363
"red",5,-1.130033,1.297560,1.433496,2.246206,3.354274,0.158878,-0.149001,-0.395356,2.749883,-0.291626,0.459555,0.170431
"red",5,-1.130033,1.351234,-0.400317,0.748347,0.454067,0.047091,0.225758,-0.282396,-0.491544,-0.836497,3.142568,0.148545
"red",5,-1.130033,1.485420,1.908928,0.963318,0.911995,-1.014888,-0.149001,-0.666458,-0.094635,-0.432238,1.830873,0.083889
"red",5,-1.130033,2.907791,-1.351182,0.866234,0.148782,-1.462038,0.225758,-0.711642,2.154519,-1.803203,1.115403,0.187300
"red",5,-1.130033,3.041977,-0.875749,1.414062,1.293601,1.164964,-0.336380,-0.259804,2.617580,0.587198,1.652005,0.178838
"red",6,-1.130033,7.631136,1.297658,0.824627,0.530389,-0.735420,-1.148358,-0.734234,3.609854,-1.029838,-0.136670,0.342907
"red",5,-1.130033,9.590251,1.841009,0.866234,0.988316,-0.791314,-1.210818,-0.824601,5.329795,-1.223179,0.698045,0.123209
"red",5,-1.130033,9.617088,1.297658,0.592320,1.140959,-1.014888,-1.398197,-0.756826,4.205218,-0.854073,2.605966,0.253616
"red",6,-1.101968,0.465607,-0.739911,1.351651,-0.232824,-0.791314,1.912173,-0.214620,1.228397,-0.871650,2.963701,0.115552
"red",6,-1.087935,0.465607,-0.739911,1.351651,-0.232824,-0.791314,1.912173,-0.214620,1.228397,-0.871650,2.963701,0.173202
"red",4,-1.045837,0.009375,0.346792,0.561115,2.285777,-0.903101,0.038378,-0.643866,-0.293090,-1.381368,-0.673272,0.156073
"red",6,-1.045837,0.063049,1.297658,1.691444,3.964844,-1.350250,-1.148358,-0.689050,0.434578,-1.592286,0.340310,0.068700
"red",5,-1.045837,0.143561,-0.943668,0.200519,-0.156502,-1.294357,-0.898519,-0.802009,0.434578,-1.135297,1.652005,0.520024
"red",6,-1.045837,0.170398,1.093901,1.830134,2.362098,-1.350250,-0.648679,-0.576091,0.368426,-1.574709,1.115403,0.704366
"red",5,-1.045837,0.250909,-1.487020,0.703272,0.301425,-0.176483,1.037735,-0.802009,-0.160786,-1.047415,1.920307,0.554280
"red",5,-1.045837,0.358258,-1.690777,0.415489,-0.309145,-0.791314,0.413137,-0.779417,0.434578,-0.941956,1.890496,0.335918
"red",5,-1.045837,0.358258,0.075116,1.136681,1.446243,-1.182569,0.100838,-0.847193,0.434578,-1.486827,1.055780,0.297003
"red",5,-1.045837,0.411933,-1.011587,0.616591,0.759352,-1.070782,-0.149001,-0.621274,-0.557696,-0.731038,1.532760,0.374994
"red",5,-1.045837,0.438770,-2.166210,0.824627,-0.080181,-1.014888,1.599874,-0.643866,-0.226938,-1.627439,2.009741,0.286100
"red",5,-1.045837,0.438770,-0.807830,0.145042,0.225104,0.214772,-0.773599,-0.689050,-0.689999,-1.240756,1.413515,0.409302
"red",5,-1.045837,0.438770,-0.604073,0.772618,0.606710,-0.735420,0.225758,-0.417947,0.236123,0.077480,1.353893,0.173486
"red",5,-1.045837,0.492444,-0.807830,1.448735,0.377746,-1.182569,1.599874,-0.689050,0.566881,-1.328638,1.294270,0.217511
"red",5,-1.045837,0.519281,-2.030372,0.928645,-0.003860,-0.791314,1.350035,-0.576091,-0.094635,-1.275909,2.307853,0.709674
"red",5,-1.045837,0.546119,-0.604073,0.599254,0.530389,-0.679526,0.413137,-0.756826,0.765336,-1.223179,-0.077047,0.310383
"red",5,-1.045837,0.546119,-0.604073,0.616591,0.530389,-0.400058,0.350678,-0.734234,0.897639,-1.152874,0.161443,0.512368
"red",5,-1.045837,0.572956,-1.215344,0.484835,-0.080181,-1.294357,0.288218,-0.779417,0.566881,-1.697744,1.294270,0.710779
"red",5,-1.045837,0.599793,-1.826615,0.980654,0.454067,-1.350250,0.413137,-0.621274,0.633033,-1.697744,1.652005,0.055577
"red",5,-1.045837,0.626630,-1.079506,0.339209,-0.690751,-1.070782,0.725436,-0.824601,0.169971,-1.609862,0.280688,0.710886
"red",5,-1.045837,0.653467,-2.166210,1.032663,0.377746,-1.350250,0.475597,-0.553499,-0.094635,-1.768050,2.933889,0.123174
"red",6,-1.045837,0.680304,-0.604073,1.115877,2.209456,-1.126676,-0.024081,-0.711642,0.765336,-1.697744,0.638423,0.283234
"red",6,-1.045837,0.733979,0.618468,1.344717,2.743704,-1.294357,-0.898519,-0.643866,0.897639,-1.715321,0.340310,0.552887
"red",5,-1.045837,0.841328,-2.166210,1.552753,1.369922,-0.623633,0.787896,-0.598682,0.434578,-1.346215,2.069363,0.390963
"red",5,-1.045837,0.895002,-2.166210,0.997990,0.377746,-1.238463,0.288218,-0.598682,1.294548,-1.680168,1.920307,0.199143
"red",6,-1.045837,0.975514,-2.166210,1.968825,0.759352,-0.623633,1.724793,-0.576091,0.765336,-0.994685,1.473138,0.214024
"red",6,-1.045837,1.082862,-0.400317,1.067336,1.140959,-1.294357,0.288218,-0.576091,0.434578,-1.469250,1.175025,0.605783
"red",5,-1.045837,1.082862,1.093901,1.032663,1.217280,0.494240,-1.148358,-0.666458,3.279096,0.534469,0.161443,0.453611
"red",5,-1.045837,1.378071,-0.536154,0.755281,0.072461,-0.679526,0.225758,-0.711642,0.368426,-0.221320,2.307853,0.682583
"red",5,-1.045837,1.431746,-0.332398,0.734478,0.377746,0.214772,0.100838,-0.282396,-0.557696,-0.449814,2.427098,0.033857
"red",5,-1.045837,1.485420,0.143035,2.901520,2.667383,-0.400058,-0.024081,0.350176,0.963790,-0.274050,3.321436,0.070960
"red",5,-1.045837,1.565932,1.161820,0.789954,0.377746,-0.567739,-0.086541,-0.734234,1.162245,-0.045555,2.069363,0.647697
"red",5,-1.045837,1.753792,1.161820,2.246206,0.988316,0.214772,0.538057,0.237217,4.006763,0.639927,1.860684,0.260813
"red",5,-1.045837,1.753792,1.365577,0.824627,0.683031,0.382453,-0.086541,-0.689050,1.029942,0.675080,2.635777,0.437207
"red",5,-1.045837,4.813231,-0.400317,0.789954,0.301425,-1.126676,-0.711139,-0.779417,1.757609,-0.467391,0.876913,0.397108
"red",5,-1.045837,5.537835,0.346792,0.893972,1.293601,-1.406144,-1.398197,-0.756826,3.676005,-0.924379,1.741439,0.082147
"red",5,-1.045837,5.725696,1.161820,0.928645,1.293601,-0.400058,-0.648679,-0.689050,3.212944,-0.080708,1.592383,0.335909
"red",5,-1.045837,11.012622,2.452280,0.963318,0.454067,-0.679526,-0.898519,-0.756826,5.131340,-0.801344,0.399933,0.034242
"red",5,-0.961641,-0.473695,-1.894534,0.581918,0.377746,-1.462038,1.100195,-0.779417,-0.425393,-1.855933,1.890496,0.329064
"red",5,-0.961641,0.197235,-0.671992,0.616591,1.140959,-1.182569,-0.773599,-0.621274,0.103820,-1.275909,2.516532,0.498043
"red",5,-0.961641,0.224072,-2.166210,0.720609,-0.767072,-1.238463,2.099552,-0.779417,2.022216,-1.697744,1.413515,0.690323
"red",5,-0.961641,0.250909,-1.622858,0.304537,-0.690751,-1.517931,0.725436,-0.756826,0.302275,-1.662592,0.280688,0.609247
"red",6,-0.961641,0.250909,-0.264479,0.963318,0.606710,-0.511845,-0.024081,-0.417947,0.037668,-0.010402,1.413515,0.415994
"red",6,-0.961641,0.277747,-2.030372,0.859300,-0.156502,-1.182569,1.537414,-0.666458,0.897639,-1.609862,1.771251,0.253088
"red",6,-0.961641,0.304584,-1.894534,0.339209,-0.461787,-1.350250,1.037735,-0.666458,0.699184,-1.768050,0.936535,0.079589
"red",6,-0.961641,0.331421,-1.894534,0.373882,-0.461787,-1.238463,1.100195,-0.643866,0.633033,-1.750474,1.055780,0.578981
"red",5,-0.961641,0.331421,-1.758696,0.651263,0.530389,-0.847207,0.475597,-0.779417,-0.491544,-0.977109,1.532760,0.586793
"red",6,-0.961641,0.358258,-2.166210,0.717142,0.454067,-1.294357,0.225758,-0.756826,0.699184,-1.715321,1.234648,0.489512
"red",5,-0.961641,0.358258,-0.536154,0.512573,-0.003860,-1.406144,0.662977,-0.643866,-0.359241,-1.381368,0.876913,0.723276
"red",5,-0.961641,0.358258,-0.400317,1.275372,0.148782,0.326559,0.912816,0.508320,-0.293090,0.112633,1.532760,0.548971
"red",5,-0.961641,0.385095,-2.166210,0.623525,-0.080181,-0.511845,0.413137,-0.609978,-0.557696,-1.188027,2.218419,0.232569
"red",5,-0.961641,0.385095,0.890144,1.587426,2.056813,-0.791314,1.037735,-0.621274,0.566881,-1.311062,1.175025,0.536759
"red",5,-0.961641,0.411933,-1.147425,0.339209,-0.843394,-1.350250,1.225115,-0.734234,0.236123,-1.680168,0.221065,0.213801
"red",6,-0.961641,0.438770,-1.351182,1.656771,-0.232824,0.550134,1.412494,1.276443,-0.094635,-0.555273,1.562572,0.207443
"red",6,-0.961641,0.465607,-0.060722,0.581918,0.072461,-1.182569,1.162655,-0.598682,0.037668,-1.205603,0.280688,0.288907
"red",5,-0.961641,0.465607,0.075116,0.789954,0.454067,-0.344164,0.163298,-0.689050,0.037668,0.095057,1.473138,0.563729
"red",5,-0.961641,0.492444,0.278873,1.067336,0.606710,-1.126676,0.725436,-0.621274,-0.491544,-1.170450,0.519178,0.189703
"red",6,-0.961641,0.519281,-1.487020,0.353079,-0.538109,-0.008803,0.850356,-0.689050,-0.359241,-1.188027,0.340310,0.192062
"red",5,-0.961641,0.519281,-0.807830,0.980654,0.911995,-1.126676,0.538057,-0.598682,0.699184,-1.346215,2.218419,0.138379
"red",5,-0.961641,0.519281,-0.536154,1.067336,0.835674,-0.791314,0.288218,-0.372764,0.500729,-0.045555,1.175025,0.420795
"red",5,-0.961641,0.519281,-0.128641,1.067336,1.064637,-0.008803,0.475597,-0.463131,-0.028483,0.358704,0.757668,0.166836
"red",5,-0.961641,0.546119,-0.536154,0.997990,2.056813,-1.350250,-0.836059,-0.598682,0.236123,-1.434097,1.711628,0.359066
"red",6,-0.961641,0.546119,1.093901,0.789954,1.293601,-0.064696,1.037735,-0.734234,-0.028483,-0.959532,-0.732895,0.675041
"red",5,-0.961641,0.572956,-0.604073,1.067336,0.759352,-0.903101,0.350678,-0.372764,0.566881,-0.186167,1.294270,0.170480
"red",5,-0.961641,0.599793,-0.943668,0.685936,0.225104,-0.344164,0.725436,-0.779417,0.302275,-0.994685,0.340310,0.527817
"red",5,-0.961641,0.626630,-2.166210,0.928645,-0.080181,-0.903101,1.537414,-0.711642,0.103820,-1.398944,2.188608,0.453028
"red",5,-0.961641,0.626630,-2.166210,1.084672,0.072461,-0.679526,1.162655,-0.643866,0.434578,-1.521980,2.337664,0.518938
"red",5,-0.961641,0.626630,-0.128641,0.835029,-0.080181,0.270666,1.350035,-0.779417,-0.226938,-0.783767,0.101820,0.094894
"red",6,-0.961641,0.626630,0.686387,0.997990,0.835674,-1.070782,-0.086541,-0.689050,1.757609,-1.539556,-0.494405,0.308829
"red",6,-0.961641,0.626630,1.297658,1.275372,2.514741,-1.126676,-0.149001,-0.756826,2.352974,-1.592286,-0.375160,0.517169
"red",6,-0.961641,0.680304,-1.351182,0.859300,0.454067,-1.294357,0.912816,-0.689050,-0.226938,-1.521980,1.294270,0.686016
"red",5,-0.961641,0.680304,-0.400317,1.136681,1.675207,-0.400058,0.350678,-0.598682,0.103820,0.499316,2.039552,0.022256
"red",5,-0.961641,0.680304,-0.264479,0.838496,-0.080181,0.047091,1.412494,-0.689050,-0.359241,-0.818920,-0.017425,0.488945
"red",5,-0.961641,0.680304,0.007197,0.720609,0.301425,-1.294357,0.850356,-0.643866,-0.094635,-1.064991,1.652005,0.080586
"red",6,-0.961641,0.680304,0.346792,0.651263,0.454067,-0.344164,0.725436,-0.689050,0.368426,-0.994685,-0.017425,0.454705
"red",5,-0.961641,0.707142,-2.166210,1.095074,-0.080181,-0.679526,1.350035,-0.621274,0.037668,-1.539556,1.950118,0.084308
"red",5,-0.961641,0.707142,-0.196560,0.658198,0.454067,-0.511845,-0.398840,-0.169437,-0.028483,-0.889226,2.844456,0.573088
"red",5,-0.961641,0.707142,0.550549,1.143615,1.064637,-0.791314,0.475597,-0.553499,-0.359241,-0.818920,-0.077047,0.614738
"red",5,-0.961641,0.733979,-2.166210,1.622098,1.140959,-0.958995,0.850356,-0.417947,-0.557696,-1.434097,2.069363,0.082822
"red",5,-0.961641,0.733979,-1.419101,0.789954,0.988316,-1.182569,-0.336380,-0.621274,-0.028483,-0.836497,0.876913,0.099699
"red",5,-0.961641,0.733979,-0.332398,1.136681,1.751528,0.047091,0.100838,-0.621274,-0.028483,0.534469,3.232002,0.570600
"red",5,-0.961641,0.733979,-0.060722,1.344717,1.369922,-0.344164,0.538057,-0.530907,0.500729,0.182939,0.757668,0.254821
"red",5,-0.961641,0.733979,0.007197,1.344717,1.369922,-0.511845,0.600517,-0.508315,0.566881,0.130210,0.817290,0.623010
"red",5,-0.961641,0.760816,1.161820,1.136681,1.598886,0.438347,-0.024081,-0.576091,0.103820,0.481739,0.340310,0.663756
"red",5,-0.961641,0.787653,-0.264479,1.171354,1.827850,-0.008803,0.100838,-0.598682,-0.028483,0.569622,3.202191,0.378173
"red",4,-0.961641,0.814490,-1.894534,0.391218,-0.156502,-1.014888,0.787896,-0.689050,0.434578,-0.836497,3.768605,0.295804
"red",5,-0.961641,0.814490,-1.011587,2.038170,1.904171,-0.567739,-0.523760,-0.485723,0.500729,-1.082568,1.234648,0.691485
"red",5,-0.961641,0.841328,-0.943668,1.604762,0.225104,-0.176483,0.975276,0.440544,1.559155,-0.361932,1.830873,0.379223
"red",5,-0.961641,0.841328,-0.400317,0.838496,1.217280,-0.791314,0.600517,-0.779417,-0.425393,-1.609862,2.039552,0.600465
"red",5,-0.961641,0.841328,0.210954,0.616591,-0.080181,-1.182569,0.350678,-0.689050,0.566881,-0.397085,2.039552,0.396403
"red",5,-0.961641,0.868165,-0.943668,0.991056,1.217280,-1.014888,-0.523760,-0.485723,0.037668,-0.713462,1.473138,0.105418
"red",5,-0.961641,0.921839,-0.604073,1.629033,1.522565,-0.679526,-0.461300,-0.553499,-0.160786,-0.660732,0.698045,0.073213
"red",5,-0.961641,0.948676,0.890144,1.615164,2.133135,-0.567739,-0.461300,-0.576091,-0.689999,-0.467391,0.042198,0.545565
"red",6,-0.961641,0.975514,-2.166210,1.691444,1.446243,-1.070782,0.850356,-0.553499,2.154519,-1.521980,2.635777,0.129714
"red",6,-0.961641,1.056025,-2.166210,1.691444,1.446243,-1.070782,0.787896,-0.553499,1.956064,-1.557133,2.695399,0.599528
"red",5,-0.961641,1.056025,0.414711,0.741412,1.064637,-1.406144,-0.149001,-0.802009,-0.094635,-1.697744,1.055780,0.286348
"red",5,-0.961641,1.082862,-1.351182,0.498704,0.377746,-0.623633,-0.398840,-0.756826,-0.293090,-1.539556,0.280688,0.214246
"red",5,-0.961641,1.082862,-1.283263,1.154017,0.301425,-0.344164,1.037735,-0.576091,0.500729,-0.854073,1.175025,0.376579
"red",5,-0.961641,1.163374,-0.264479,0.720609,0.454067,-0.679526,-0.024081,-0.530907,0.897639,-0.344355,0.578800,0.717286
"red",5,-0.961641,1.190211,-0.400317,0.408555,0.148782,-0.791314,-0.461300,-0.689050,0.236123,-0.748615,1.115403,0.655574
"red",5,-0.961641,1.458583,-1.351182,1.310044,0.225104,1.109071,0.225758,0.011298,1.559155,-0.080708,1.711628,0.210993
"red",5,-0.961641,1.458583,-0.875749,1.476473,2.056813,0.158878,-0.523760,0.169441,0.103820,-0.678309,2.367476,0.725577
"red",5,-0.961641,1.619606,1.569334,0.789954,0.683031,0.102985,-0.336380,-0.734234,0.566881,0.464163,1.950118,0.094117
"red",5,-0.961641,2.397884,-1.894534,1.344717,1.369922,-0.176483,-0.398840,-0.711642,1.096094,-0.432238,1.652005,0.163070
"red",5,-0.961641,2.746768,1.365577,1.830134,2.362098,-0.847207,-0.273921,-0.508315,0.699184,-0.695885,-0.017425,0.581292
"red",6,-0.961641,3.068814,1.161820,1.032663,1.369922,-1.350250,0.288218,-0.711642,0.500729,-1.574709,1.115403,0.218711
"red",6,-0.961641,3.578721,-2.166210,0.776085,-0.156502,-1.014888,0.538057,-0.689050,0.434578,-1.223179,1.353893,0.636713
"red",5,-0.961641,8.382577,1.229739,0.630460,0.988316,-0.847207,-1.335737,-0.711642,3.742157,-1.346215,0.578800,0.377496
"red",5,-0.961641,9.241367,-0.400317,0.824627,0.072461,-0.791314,-0.398840,-0.734234,4.006763,-1.117721,1.950118,0.737997
"red",5,-0.961641,10.932110,2.588118,0.997990,0.454067,-0.455952,-0.586220,-0.711642,4.932885,-0.836497,0.519178,0.676896
"red",4,-0.961641,14.850340,4.625687,1.760789,1.522565,0.102985,-3.022152,-0.372764,9.695799,-0.801344,1.055780,0.431947
"red",5,-0.961641,14.877177,2.995632,0.789954,0.377746,-1.238463,-1.023438,-0.734234,4.800582,-1.223179,0.399933,0.567856
"red",5,-0.877444,-0.312672,-0.739911,-0.385449,-0.996036,1.500326,0.600517,-0.756826,-0.623848,0.358704,-0.911762,0.732337
"red",5,-0.877444,0.009375,-2.166210,-0.014452,-0.919715,-0.847207,0.850356,-0.824601,-0.557696,-1.557133,0.936535,0.535378
"red",6,-0.877444,0.143561,0.414711,0.789954,0.148782,-1.182569,1.162655,-0.756826,-0.028483,-1.486827,-0.315537,0.002711
"red",6,-0.877444,0.250909,-2.030372,0.928645,-0.156502,-1.238463,1.537414,-0.666458,0.897639,-1.574709,1.830873,0.160059
"red",5,-0.877444,0.277747,-2.030372,0.859300,-0.614430,-1.462038,1.474954,-0.734234,0.963790,-1.820780,1.353893,0.670560
"red",5,-0.877444,0.277747,-1.215344,0.824627,1.217280,-1.126676,-0.211461,-0.598682,0.368426,-1.275909,1.592383,0.153519
"red",6,-0.877444,0.304584,-1.622858,0.689403,-0.309145,-0.120590,1.225115,-0.711642,1.889913,-1.346215,1.652005,0.035824
"red",5,-0.877444,0.331421,0.007197,0.623525,0.072461,0.270666,0.662977,-0.643866,-0.160786,-0.186167,2.069363,0.387036
"red",6,-0.877444,0.358258,-0.943668,1.095074,0.072461,-1.014888,1.849713,-0.666458,1.294548,-1.521980,0.996158,0.524466
"red",7,-0.877444,0.438770,-2.030372,0.789954,0.454067,-1.182569,0.850356,-0.689050,0.236123,-1.697744,1.413515,0.130863
"red",5,-0.877444,0.438770,-0.739911,0.651263,0.530389,0.885496,0.288218,-0.711642,0.302275,-0.221320,0.042198,0.393271
"red",6,-0.877444,0.438770,-0.128641,0.807291,-0.003860,0.047091,1.225115,-0.734234,0.368426,-0.783767,0.221065,0.241946
"red",5,-0.877444,0.438770,0.958063,1.934152,2.743704,-1.406144,-1.085898,-0.576091,0.699184,-1.539556,0.936535,0.702872
"red",6,-0.877444,0.465607,-2.098291,0.443227,-0.309145,-1.182569,0.662977,-0.666458,0.169971,-1.574709,0.996158,0.557405
