Approval,Debt-to-Income Ratio,FICO Score,Request Amount,Interest
"F",0.000000,541,4000,1800.000000
"F",0.000000,541,7000,3150.000000
"F",0.000000,541,14000,6300.000000
"F",0.000000,542,5000,2250.000000
"F",0.000000,542,8000,3600.000000
"F",0.000000,542,27000,12150.000000
"F",0.000000,543,6000,2700.000000
"F",0.000000,543,11000,4950.000000
"F",0.000000,544,4000,1800.000000
"F",0.000000,544,10000,4500.000000
"F",0.000000,544,38000,17100.000000
"F",0.000000,545,6000,2700.000000
"F",0.000000,545,8000,3600.000000
"F",0.000000,545,23000,10350.000000
"F",0.000000,546,2000,900.000000
"F",0.000000,546,3000,1350.000000
"F",0.000000,546,3000,1350.000000
"F",0.000000,546,6000,2700.000000
"F",0.000000,546,7000,3150.000000
"F",0.000000,546,10000,4500.000000
"F",0.000000,547,1000,450.000000
"F",0.000000,547,2000,900.000000
"F",0.000000,547,4000,1800.000000
"F",0.000000,547,15000,6750.000000
"F",0.000000,548,1000,450.000000
"F",0.000000,548,2000,900.000000
"F",0.000000,548,5000,2250.000000
"F",0.000000,548,8000,3600.000000
"F",0.000000,548,35000,15750.000000
"F",0.000000,549,4000,1800.000000
"F",0.000000,549,4000,1800.000000
"F",0.000000,549,5000,2250.000000
"F",0.000000,549,20000,9000.000000
"F",0.000000,550,1000,450.000000
"F",0.000000,550,5000,2250.000000
"F",0.000000,550,8000,3600.000000
"F",0.000000,550,10000,4500.000000
"F",0.000000,550,22000,9900.000000
"F",0.000000,550,24000,10800.000000
"F",0.000000,551,2000,900.000000
"F",0.000000,551,2000,900.000000
"F",0.000000,551,4000,1800.000000
"F",0.000000,551,5000,2250.000000
"F",0.000000,551,6000,2700.000000
"F",0.000000,551,12000,5400.000000
"F",0.000000,551,15000,6750.000000
"F",0.000000,552,2000,900.000000
"F",0.000000,552,6000,2700.000000
"F",0.000000,553,5000,2250.000000
"F",0.000000,553,13000,5850.000000
"F",0.000000,553,14000,6300.000000
"F",0.000000,554,3000,1350.000000
"F",0.000000,554,3000,1350.000000
"F",0.000000,554,5000,2250.000000
"F",0.000000,554,36000,16200.000000
"F",0.000000,555,2000,900.000000
"F",0.000000,555,6000,2700.000000
"F",0.000000,555,8000,3600.000000
"F",0.000000,556,1000,450.000000
"F",0.000000,556,4000,1800.000000
"F",0.000000,556,9000,4050.000000
"F",0.000000,557,2000,900.000000
"F",0.000000,557,6000,2700.000000
"F",0.000000,557,9000,4050.000000
"F",0.000000,557,12000,5400.000000
"F",0.000000,558,3000,1350.000000
"F",0.000000,558,4000,1800.000000
"F",0.000000,558,5000,2250.000000
"F",0.000000,558,5000,2250.000000
"F",0.000000,559,4000,1800.000000
"F",0.000000,559,5000,2250.000000
"F",0.000000,559,10000,4500.000000
"F",0.000000,560,500,225.000000
"F",0.000000,560,17000,7650.000000
"F",0.000000,560,27000,12150.000000
"F",0.000000,561,3000,1350.000000
"F",0.000000,562,2000,900.000000
"F",0.000000,562,6000,2700.000000
"F",0.000000,562,10000,4500.000000
"F",0.000000,562,13000,5850.000000
"F",0.000000,562,16000,7200.000000
"F",0.000000,563,3000,1350.000000
"F",0.000000,563,4000,1800.000000
"F",0.000000,564,2000,900.000000
"F",0.000000,564,6000,2700.000000
"F",0.000000,565,10000,4500.000000
"F",0.000000,566,3000,1350.000000
"F",0.000000,566,5000,2250.000000
"F",0.000000,566,5000,2250.000000
"F",0.000000,566,15000,6750.000000
"F",0.000000,566,33000,14850.000000
"F",0.000000,567,1000,450.000000
"F",0.000000,567,5000,2250.000000
"F",0.000000,567,11000,4950.000000
"F",0.000000,567,26000,11700.000000
"F",0.000000,568,1000,450.000000
"F",0.000000,568,5000,2250.000000
"F",0.000000,568,13000,5850.000000
"F",0.000000,569,4000,1800.000000
"F",0.000000,569,6000,2700.000000
"F",0.000000,569,7000,3150.000000
"F",0.000000,569,22000,9900.000000
"F",0.000000,570,3000,1350.000000
"F",0.000000,570,8000,3600.000000
"F",0.000000,570,13000,5850.000000
"F",0.000000,570,33000,14850.000000
"F",0.000000,571,500,225.000000
"F",0.000000,571,4000,1800.000000
"F",0.000000,571,7000,3150.000000
"F",0.000000,571,8000,3600.000000
"F",0.000000,571,10000,4500.000000
"F",0.000000,571,11000,4950.000000
"F",0.000000,572,4000,1800.000000
"F",0.000000,572,5000,2250.000000
"F",0.000000,572,5000,2250.000000
"F",0.000000,572,5000,2250.000000
"F",0.000000,572,6000,2700.000000
"F",0.000000,573,2000,900.000000
"F",0.000000,573,5000,2250.000000
"F",0.000000,573,20000,9000.000000
"F",0.000000,574,18000,8100.000000
"F",0.000000,574,22000,9900.000000
"F",0.000000,575,1000,450.000000
"F",0.000000,575,3000,1350.000000
"F",0.000000,575,6000,2700.000000
"F",0.000000,575,19000,8550.000000
"F",0.000000,576,3000,1350.000000
"F",0.000000,576,3000,1350.000000
"F",0.000000,576,5000,2250.000000
"F",0.000000,576,7000,3150.000000
"F",0.000000,576,11000,4950.000000
"F",0.000000,577,1000,450.000000
"F",0.000000,577,3000,1350.000000
"F",0.000000,577,4000,1800.000000
"F",0.000000,577,5000,2250.000000
"F",0.000000,578,4000,1800.000000
"F",0.000000,578,6000,2700.000000
"F",0.000000,578,9000,4050.000000
"F",0.000000,578,18000,8100.000000
"F",0.000000,578,21000,9450.000000
"F",0.000000,579,1000,450.000000
"F",0.000000,579,3000,1350.000000
"F",0.000000,579,4000,1800.000000
"F",0.000000,579,5000,2250.000000
"F",0.000000,580,6000,2700.000000
"F",0.000000,581,36000,16200.000000
"F",0.000000,581,39000,17550.000000
"F",0.000000,582,3000,1350.000000
"F",0.000000,582,4000,1800.000000
"F",0.000000,582,7000,3150.000000
"F",0.000000,582,8000,3600.000000
"F",0.000000,582,10000,4500.000000
"F",0.000000,582,11000,4950.000000
"F",0.000000,583,2000,900.000000
"F",0.000000,583,20000,9000.000000
"F",0.000000,584,2000,900.000000
"F",0.000000,584,2000,900.000000
"F",0.000000,584,3000,1350.000000
"F",0.000000,585,2000,900.000000
"F",0.000000,585,2000,900.000000
"F",0.000000,585,5000,2250.000000
"F",0.000000,585,7000,3150.000000
"F",0.000000,585,13000,5850.000000
"F",0.000000,585,14000,6300.000000
"F",0.000000,585,35000,15750.000000
"F",0.000000,586,500,225.000000
"F",0.000000,586,2000,900.000000
"F",0.000000,586,5000,2250.000000
"F",0.000000,586,7000,3150.000000
"F",0.000000,586,26000,11700.000000
"F",0.000000,587,500,225.000000
"F",0.000000,587,4000,1800.000000
"F",0.000000,587,8000,3600.000000
"F",0.000000,587,11000,4950.000000
"F",0.000000,587,16000,7200.000000
"F",0.000000,587,23000,10350.000000
"F",0.000000,588,8000,3600.000000
"F",0.000000,588,12000,5400.000000
"F",0.000000,588,13000,5850.000000
"F",0.000000,588,18000,8100.000000
"F",0.000000,588,26000,11700.000000
"F",0.000000,588,33000,14850.000000
"F",0.000000,589,2000,900.000000
"F",0.000000,589,2000,900.000000
"F",0.000000,589,2000,900.000000
"F",0.000000,589,2000,900.000000
"F",0.000000,589,3000,1350.000000
"F",0.000000,589,3000,1350.000000
"F",0.000000,589,6000,2700.000000
"F",0.000000,589,8000,3600.000000
"F",0.000000,589,28000,12600.000000
"F",0.000000,589,31000,13950.000000
"F",0.000000,589,37000,16650.000000
"F",0.000000,590,2000,900.000000
"F",0.000000,590,3000,1350.000000
"F",0.000000,590,5000,2250.000000
"F",0.000000,590,9000,4050.000000
"F",0.000000,590,14000,6300.000000
"F",0.000000,591,1000,450.000000
"F",0.000000,592,2000,900.000000
"F",0.000000,592,3000,1350.000000
"F",0.000000,592,5000,2250.000000
"F",0.000000,592,5000,2250.000000
"F",0.000000,592,10000,4500.000000
"F",0.000000,592,12000,5400.000000
"F",0.000000,592,12000,5400.000000
"F",0.000000,592,14000,6300.000000
"F",0.000000,592,19000,8550.000000
"F",0.000000,592,20000,9000.000000
"F",0.000000,593,5000,2250.000000
"F",0.000000,593,6000,2700.000000
"F",0.000000,593,7000,3150.000000
"F",0.000000,593,12000,5400.000000
"F",0.000000,593,35000,15750.000000
"F",0.000000,593,36000,16200.000000
"F",0.000000,594,1000,450.000000
"F",0.000000,594,9000,4050.000000
"F",0.000000,594,10000,4500.000000
"F",0.000000,594,11000,4950.000000
"F",0.000000,595,2000,900.000000
"F",0.000000,595,3000,1350.000000
"F",0.000000,595,4000,1800.000000
"F",0.000000,595,4000,1800.000000
"F",0.000000,595,20000,9000.000000
"F",0.000000,596,8000,3600.000000
"F",0.000000,596,13000,5850.000000
"F",0.000000,596,17000,7650.000000
"F",0.000000,597,6000,2700.000000
"F",0.000000,597,14000,6300.000000
"F",0.000000,597,16000,7200.000000
"F",0.000000,597,18000,8100.000000
"F",0.000000,597,36000,16200.000000
"F",0.000000,598,4000,1800.000000
"F",0.000000,598,6000,2700.000000
"F",0.000000,599,2000,900.000000
"F",0.000000,599,6000,2700.000000
"F",0.000000,599,8000,3600.000000
"F",0.000000,599,9000,4050.000000
"F",0.000000,600,4000,1800.000000
"F",0.000000,600,15000,6750.000000
"F",0.000000,600,21000,9450.000000
"F",0.000000,600,37000,16650.000000
"F",0.000000,601,500,225.000000
"F",0.000000,601,2000,900.000000
"F",0.000000,601,5000,2250.000000
"F",0.000000,601,7000,3150.000000
"F",0.000000,601,37000,16650.000000
"F",0.000000,602,3000,1350.000000
"F",0.000000,602,5000,2250.000000
"F",0.000000,602,7000,3150.000000
"F",0.000000,602,10000,4500.000000
"F",0.000000,603,2000,900.000000
"F",0.000000,603,2000,900.000000
"F",0.000000,603,7000,3150.000000
"F",0.000000,603,7000,3150.000000
"F",0.000000,603,12000,5400.000000
"F",0.000000,603,15000,6750.000000
"F",0.000000,603,35000,15750.000000
"F",0.000000,603,39000,17550.000000
"F",0.000000,604,500,225.000000
"F",0.000000,604,5000,2250.000000
"F",0.000000,604,5000,2250.000000
"F",0.000000,604,5000,2250.000000
"F",0.000000,604,6000,2700.000000
"F",0.000000,604,8000,3600.000000
"F",0.000000,604,11000,4950.000000
"F",0.000000,604,27000,12150.000000
"F",0.000000,605,3000,1350.000000
"F",0.000000,605,5000,2250.000000
"F",0.000000,605,9000,4050.000000
"F",0.000000,605,11000,4950.000000
"F",0.000000,605,13000,5850.000000
"F",0.000000,606,3000,1350.000000
"F",0.000000,606,7000,3150.000000
"F",0.000000,606,8000,3600.000000
"F",0.000000,606,14000,6300.000000
"F",0.000000,606,18000,8100.000000
"F",0.000000,606,23000,10350.000000
"F",0.000000,606,32000,14400.000000
"F",0.000000,606,37000,16650.000000
"F",0.000000,607,500,225.000000
"F",0.000000,607,7000,3150.000000
"F",0.000000,607,9000,4050.000000
"F",0.000000,607,13000,5850.000000
"F",0.000000,607,23000,10350.000000
"F",0.000000,608,500,225.000000
"F",0.000000,608,4000,1800.000000
"F",0.000000,608,5000,2250.000000
"F",0.000000,608,5000,2250.000000
"F",0.000000,608,7000,3150.000000
"F",0.000000,608,9000,4050.000000
"F",0.000000,608,24000,10800.000000
"F",0.000000,609,9000,4050.000000
"F",0.000000,609,12000,5400.000000
"F",0.000000,609,12000,5400.000000
"F",0.000000,610,1000,450.000000
"F",0.000000,610,2000,900.000000
"F",0.000000,610,4000,1800.000000
"F",0.000000,610,4000,1800.000000
"F",0.000000,610,5000,2250.000000
"F",0.000000,610,35000,15750.000000
"F",0.000000,611,1000,450.000000
"F",0.000000,611,9000,4050.000000
"F",0.000000,611,15000,6750.000000
"F",0.000000,611,20000,9000.000000
"F",0.000000,611,22000,9900.000000
"F",0.000000,612,2000,900.000000
"F",0.000000,613,1000,450.000000
"F",0.000000,613,2000,900.000000
"F",0.000000,613,18000,8100.000000
"F",0.000000,614,3000,1350.000000
"F",0.000000,614,4000,1800.000000
"F",0.000000,614,4000,1800.000000
"F",0.000000,614,8000,3600.000000
"F",0.000000,614,12000,5400.000000
"F",0.000000,615,1000,450.000000
"F",0.000000,615,2000,900.000000
"F",0.000000,615,4000,1800.000000
"F",0.000000,615,6000,2700.000000
"F",0.000000,615,10000,4500.000000
"F",0.000000,615,15000,6750.000000
"F",0.000000,615,26000,11700.000000
"F",0.000000,616,6000,2700.000000
"F",0.000000,616,7000,3150.000000
"F",0.000000,616,7000,3150.000000
"F",0.000000,616,10000,4500.000000
"F",0.000000,616,16000,7200.000000
"F",0.000000,616,25000,11250.000000
"F",0.000000,616,25000,11250.000000
"F",0.000000,617,2000,900.000000
"F",0.000000,617,7000,3150.000000
"F",0.000000,617,10000,4500.000000
"F",0.000000,617,10000,4500.000000
"F",0.000000,617,13000,5850.000000
"F",0.000000,617,14000,6300.000000
"F",0.000000,618,500,225.000000
"F",0.000000,618,1000,450.000000
"F",0.000000,618,7000,3150.000000
"F",0.000000,618,10000,4500.000000
"F",0.000000,618,14000,6300.000000
"F",0.000000,619,2000,900.000000
"F",0.000000,619,2000,900.000000
"F",0.000000,619,7000,3150.000000
"F",0.000000,619,9000,4050.000000
"F",0.000000,619,21000,9450.000000
"F",0.000000,619,27000,12150.000000
"F",0.000000,619,37000,16650.000000
"F",0.000000,620,500,225.000000
"F",0.000000,620,4000,1800.000000
"F",0.000000,620,5000,2250.000000
"F",0.000000,620,6000,2700.000000
"F",0.000000,620,13000,5850.000000
"F",0.000000,621,1000,450.000000
"F",0.000000,621,7000,3150.000000
"F",0.000000,621,10000,4500.000000
"F",0.000000,621,12000,5400.000000
"F",0.000000,621,16000,7200.000000
"F",0.000000,622,3000,1350.000000
"F",0.000000,622,4000,1800.000000
"F",0.000000,622,6000,2700.000000
"F",0.000000,622,10000,4500.000000
"F",0.000000,622,15000,6750.000000
"F",0.000000,623,1000,450.000000
"F",0.000000,623,2000,900.000000
"F",0.000000,623,4000,1800.000000
"F",0.000000,623,5000,2250.000000
"F",0.000000,623,12000,5400.000000
"F",0.000000,624,3000,1350.000000
"F",0.000000,624,6000,2700.000000
"F",0.000000,624,7000,3150.000000
"F",0.000000,624,8000,3600.000000
"F",0.000000,624,24000,10800.000000
"F",0.000000,624,29000,13050.000000
"F",0.000000,624,36000,16200.000000
"F",0.000000,625,1000,450.000000
"F",0.000000,625,5000,2250.000000
"F",0.000000,625,7000,3150.000000
"F",0.000000,625,7000,3150.000000
"F",0.000000,625,11000,4950.000000
"F",0.000000,625,15000,6750.000000
"F",0.000000,626,5000,2250.000000
"F",0.000000,626,12000,5400.000000
"F",0.000000,626,29000,13050.000000
"F",0.000000,627,500,225.000000
"F",0.000000,627,5000,2250.000000
"F",0.000000,627,7000,3150.000000
"F",0.000000,627,8000,3600.000000
"F",0.000000,628,2000,900.000000
"F",0.000000,628,4000,1800.000000
"F",0.000000,628,15000,6750.000000
"F",0.000000,628,17000,7650.000000
"F",0.000000,628,22000,9900.000000
"F",0.000000,628,25000,11250.000000
"F",0.000000,628,38000,17100.000000
"F",0.000000,629,6000,2700.000000
"F",0.000000,629,6000,2700.000000
"F",0.000000,629,7000,3150.000000
"F",0.000000,629,9000,4050.000000
"F",0.000000,629,25000,11250.000000
"F",0.000000,630,4000,1800.000000
"F",0.000000,630,6000,2700.000000
"F",0.000000,630,8000,3600.000000
"F",0.000000,630,9000,4050.000000
"F",0.000000,630,29000,13050.000000
"F",0.000000,630,29000,13050.000000
"F",0.000000,631,3000,1350.000000
"F",0.000000,631,3000,1350.000000
"F",0.000000,631,8000,3600.000000
"F",0.000000,631,21000,9450.000000
"F",0.000000,632,3000,1350.000000
"F",0.000000,632,6000,2700.000000
"F",0.000000,632,6000,2700.000000
"F",0.000000,632,35000,15750.000000
"F",0.000000,632,38000,17100.000000
"F",0.000000,633,500,225.000000
"F",0.000000,633,4000,1800.000000
"F",0.000000,633,7000,3150.000000
"F",0.000000,633,12000,5400.000000
"F",0.000000,634,3000,1350.000000
"F",0.000000,634,3000,1350.000000
"F",0.000000,634,4000,1800.000000
"F",0.000000,634,5000,2250.000000
"F",0.000000,634,6000,2700.000000
"F",0.000000,634,12000,5400.000000
"F",0.000000,634,13000,5850.000000
"F",0.000000,635,1000,450.000000
"F",0.000000,635,2000,900.000000
"F",0.000000,635,11000,4950.000000
"F",0.000000,635,35000,15750.000000
"F",0.000000,636,3000,1350.000000
"F",0.000000,636,4000,1800.000000
"F",0.000000,636,8000,3600.000000
"F",0.000000,636,13000,5850.000000
"F",0.000000,636,26000,11700.000000
"F",0.000000,636,30000,13500.000000
"F",0.000000,637,6000,2700.000000
"F",0.000000,637,10000,4500.000000
"F",0.000000,637,12000,5400.000000
"F",0.000000,637,16000,7200.000000
"F",0.000000,637,20000,9000.000000
"F",0.000000,637,23000,10350.000000
"F",0.000000,637,26000,11700.000000
"F",0.000000,637,27000,12150.000000
"F",0.000000,638,4000,1800.000000
"F",0.000000,638,5000,2250.000000
